id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_street,pickup_suburb,pickup_city,dropoff_street,dropoff_suburb,dropoff_city,distance_miles,trip_price
id2793718,2,2016-06-08 07:36:19,2016-06-08 07:53:39,1,-73.98561096191406,40.735942840576165,-73.98033142089844,40.76046752929688,N,1040,3rd Avenue,Gramercy,New York,Rockefeller Plaza,Manhattan,New York,1.71,20.4
id3485529,2,2016-04-03 12:58:11,2016-04-03 13:11:58,1,-73.9783935546875,40.76435089111328,-73.99162292480467,40.749858856201165,N,827,West 56th Street,Manhattan,New York,Penn Plaza,Manhattan,New York,1.21,12.4
id1816614,2,2016-06-05 02:49:13,2016-06-05 02:59:27,5,-73.98905944824217,40.744388580322266,-73.97338104248048,40.74869155883789,N,614,Broadway,Manhattan,New York,East 40th Street,Manhattan,New York,0.87,9.8
id1050851,2,2016-05-05 17:18:27,2016-05-05 17:32:54,2,-73.99032592773438,40.73113632202149,-73.99126434326173,40.74891662597656,N,867,4th Avenue,Manhattan,New York,West 31st Street,Manhattan,New York,1.23,17.8
id0140657,1,2016-05-12 17:43:38,2016-05-12 19:06:25,4,-73.78949737548828,40.64667510986328,-73.9871368408203,40.759231567382805,N,4967,Terminal 8 Parking,Queens County,New York,West 45th Street,Manhattan,New York,12.92,81.2
id2734699,2,2016-04-14 12:17:42,2016-04-14 12:23:56,3,-73.96983337402342,40.768569946289055,-73.962646484375,40.767181396484375,N,374,5th Avenue,Manhattan,New York,3rd Avenue,Upper East Side,New York,0.39,11.6
id2151697,2,2016-03-17 21:10:43,2016-03-17 21:31:35,1,-73.98841857910156,40.76000595092773,-73.98052978515625,40.78289031982422,N,1252,West 46th Street,Manhattan,New York,Broadway,Manhattan,New York,1.63,22.0
id3635863,1,2016-02-05 06:43:21,2016-02-05 06:45:49,1,-73.98785400390625,40.74969482421875,-73.98539733886719,40.75593185424805,N,148,Broadway,Manhattan,New York,Times Square,Manhattan,New York,0.45,9.9
id2169697,2,2016-03-22 14:08:02,2016-03-22 14:33:01,1,-73.95501708984375,40.764461517333984,-73.99681091308595,40.71656036376953,N,1499,East 68th Street,Manhattan,New York,Canal Street,Manhattan,New York,3.96,29.9
id2225613,1,2016-03-29 23:32:47,2016-03-29 23:49:44,1,-73.9715347290039,40.79482650756836,-73.93170928955078,40.858222961425774,N,1017,Broadway,Upper West Side,New York,West 193rd Street,Manhattan,New York,4.84,28.1
id1421171,2,2016-06-13 22:40:11,2016-06-13 22:56:09,6,-74.01451873779298,40.71452331542969,-73.9789810180664,40.74044036865234,N,958,West Street,Manhattan,New York,East 27th Street,Kips Bay,New York,2.58,21.9
id2184050,1,2016-02-02 08:10:25,2016-02-02 08:14:15,1,-73.97945404052734,40.74713516235352,-73.9754867553711,40.754497528076165,N,230,East 35th Street,Manhattan,New York,Park Avenue,Manhattan,New York,0.55,10.8
