id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_street,pickup_suburb,distance,distance_miles,pickup_city
id2793718,2,2016-06-08 07:36:19,2016-06-08 07:53:39,1,-73.98561096191406,40.735942840576165,-73.98033142089844,40.76046752929688,N,1040,3rd Avenue,Gramercy,2.7630526923883743,1.713092669280792,New York
id3485529,2,2016-04-03 12:58:11,2016-04-03 13:11:58,1,-73.9783935546875,40.76435089111328,-73.99162292480467,40.749858856201165,N,827,West 56th Street,Manhattan,1.9591806104232485,1.2146919784624142,New York
id1816614,2,2016-06-05 02:49:13,2016-06-05 02:59:27,5,-73.98905944824217,40.744388580322266,-73.97338104248048,40.74869155883789,N,614,Broadway,Manhattan,1.4047733558724955,0.8709594806409472,New York
id1050851,2,2016-05-05 17:18:27,2016-05-05 17:32:54,2,-73.99032592773438,40.73113632202149,-73.99126434326173,40.74891662597656,N,867,4th Avenue,Manhattan,1.9786619900732496,1.2267704338454148,New York
id0140657,1,2016-05-12 17:43:38,2016-05-12 19:06:25,4,-73.78949737548828,40.64667510986328,-73.9871368408203,40.759231567382805,N,4967,Terminal 8 Parking,Queens County,20.837768366008497,12.919416386925269,New York
id2734699,2,2016-04-14 12:17:42,2016-04-14 12:23:56,3,-73.96983337402342,40.768569946289055,-73.962646484375,40.767181396484375,N,374,5th Avenue,Manhattan,0.6246263031834479,0.3872683079737377,New York
id2151697,2,2016-03-17 21:10:43,2016-03-17 21:31:35,1,-73.98841857910156,40.76000595092773,-73.98052978515625,40.78289031982422,N,1252,West 46th Street,Manhattan,2.6299149526883054,1.6305472706667494,New York
id3635863,1,2016-02-05 06:43:21,2016-02-05 06:45:49,1,-73.98785400390625,40.74969482421875,-73.98539733886719,40.75593185424805,N,148,Broadway,Manhattan,0.7237412676912133,0.4487195859685522,New York
id2169697,2,2016-03-22 14:08:02,2016-03-22 14:33:01,1,-73.95501708984375,40.764461517333984,-73.99681091308595,40.71656036376953,N,1499,East 68th Street,Manhattan,6.385016373949339,3.9587101518485905,New York
id2225613,1,2016-03-29 23:32:47,2016-03-29 23:49:44,1,-73.9715347290039,40.79482650756836,-73.93170928955078,40.858222961425774,N,1017,Broadway,Upper West Side,7.805278883904376,4.839272908020713,New York
id1421171,2,2016-06-13 22:40:11,2016-06-13 22:56:09,6,-74.01451873779298,40.71452331542969,-73.9789810180664,40.74044036865234,N,958,West Street,Manhattan,4.15605644259587,2.576754994409439,New York
id2184050,1,2016-02-02 08:10:25,2016-02-02 08:14:15,1,-73.97945404052734,40.74713516235352,-73.9754867553711,40.754497528076165,N,230,East 35th Street,Manhattan,0.8842425674382193,0.548230391811696,New York
id0088775,2,2016-04-14 18:29:44,2016-04-14 19:19:15,1,-73.77666473388672,40.64543151855469,-73.9681625366211,40.75481033325195,N,2971,JFK Access Road,Queens,20.21217748116033,12.531550038319406,New York
id2753255,1,2016-02-21 02:02:26,2016-02-21 02:19:33,3,-74.00690460205078,40.743701934814446,-73.98828887939453,40.723411560058594,N,1027,West 26th Street,Manhattan,2.747848963515358,1.7036663573795219,New York
id0094298,1,2016-04-18 20:45:20,2016-04-18 20:54:59,1,-73.96757507324217,40.7881965637207,-73.98274993896483,40.763328552246094,N,579,Central Park West,Manhattan,3.0461607396628554,1.8886196585909703,New York
id3555558,1,2016-02-14 08:32:03,2016-02-14 08:34:23,3,-73.99352264404298,40.75626373291016,-74.00042724609375,40.75846862792969,N,140,West 39th Street,Manhattan,0.6311292744774232,0.3913001501760024,New York
id2376644,2,2016-05-16 16:24:41,2016-05-16 17:47:07,1,-73.96665954589844,40.762977600097656,-73.79051208496092,40.64407730102539,N,4946,East 61st Street,Manhattan,19.88160554068082,12.326595435222108,New York
